Date,Day,Hour,Cars,Motorcycles,Buses,Trucks,Traffic_Volume
2026-01-01,Thursday,6,174,88,20,27,309
2026-01-01,Thursday,7,202,90,23,13,328
2026-01-01,Thursday,8,322,135,43,70,570
2026-01-01,Thursday,9,390,158,31,70,649
2026-01-01,Thursday,10,308,165,38,76,587
2026-01-01,Thursday,11,227,121,30,31,409
2026-01-01,Thursday,12,151,69,11,50,281
2026-01-01,Thursday,13,165,77,22,18,282
2026-01-01,Thursday,14,152,67,12,42,273
2026-01-01,Thursday,15,219,86,25,57,387
2026-01-01,Thursday,16,346,154,30,44,574
2026-01-01,Thursday,17,393,156,33,73,655
2026-01-01,Thursday,18,419,172,31,164,786
2026-01-01,Thursday,19,409,188,49,52,698
2026-01-01,Thursday,20,299,111,23,86,519
2026-01-01,Thursday,21,200,90,24,39,353
2026-01-02,Friday,6,175,78,15,37,305
2026-01-02,Friday,7,227,89,22,66,404
2026-01-02,Friday,8,282,106,26,105,519
2026-01-02,Friday,9,386,168,47,58,659
2026-01-02,Friday,10,338,169,28,69,604
2026-01-02,Friday,11,214,110,23,58,405
2026-01-02,Friday,12,160,60,19,43,282
2026-01-02,Friday,13,165,68,19,44,296
2026-01-02,Friday,14,117,47,17,42,223
2026-01-02,Friday,15,244,93,32,45,414
2026-01-02,Friday,16,313,129,26,61,529
2026-01-02,Friday,17,396,159,31,63,649
2026-01-02,Friday,18,447,168,57,102,774
2026-01-02,Friday,19,411,169,45,70,695
2026-01-02,Friday,20,361,128,34,95,618
2026-01-02,Friday,21,231,94,18,63,406
2026-01-03,Saturday,6,163,61,21,37,282
2026-01-03,Saturday,7,159,74,11,43,287
2026-01-03,Saturday,8,200,97,15,40,352
2026-01-03,Saturday,9,320,165,35,43,563
2026-01-03,Saturday,10,176,75,19,52,322
2026-01-03,Saturday,11,145,78,21,34,278
2026-01-03,Saturday,12,122,44,14,33,213
2026-01-03,Saturday,13,113,52,8,18,191
2026-01-03,Saturday,14,105,39,12,38,194
2026-01-03,Saturday,15,231,107,20,26,384
2026-01-03,Saturday,16,240,110,22,66,438
2026-01-03,Saturday,17,253,96,27,97,473
2026-01-03,Saturday,18,298,134,37,21,490
2026-01-03,Saturday,19,284,115,35,63,497
2026-01-03,Saturday,20,210,79,26,63,378
2026-01-03,Saturday,21,181,66,13,36,296
2026-01-04,Sunday,6,157,64,18,56,295
2026-01-04,Sunday,7,141,71,20,25,257
2026-01-04,Sunday,8,224,84,20,93,421
2026-01-04,Sunday,9,282,102,28,69,481
2026-01-04,Sunday,10,221,84,27,52,384
2026-01-04,Sunday,11,207,74,15,53,349
2026-01-04,Sunday,12,136,56,14,38,244
2026-01-04,Sunday,13,134,50,16,19,219
2026-01-04,Sunday,14,119,54,9,26,208
2026-01-04,Sunday,15,165,87,18,24,294
2026-01-04,Sunday,16,216,89,25,31,361
2026-01-04,Sunday,17,276,147,37,60,520
2026-01-04,Sunday,18,260,118,33,44,455
2026-01-04,Sunday,19,340,143,34,89,606
2026-01-04,Sunday,20,239,96,19,41,395
2026-01-04,Sunday,21,137,65,10,20,232
2026-01-05,Monday,6,146,54,18,34,252
2026-01-05,Monday,7,205,112,17,51,385
2026-01-05,Monday,8,306,121,23,122,572
2026-01-05,Monday,9,352,134,41,128,655
2026-01-05,Monday,10,355,147,38,95,635
2026-01-05,Monday,11,260,87,20,63,430
2026-01-05,Monday,12,238,112,24,63,437
2026-01-05,Monday,13,132,60,10,36,238
2026-01-05,Monday,14,188,105,15,51,359
2026-01-05,Monday,15,272,133,32,10,447
2026-01-05,Monday,16,333,158,25,54,570
2026-01-05,Monday,17,397,198,40,61,696
2026-01-05,Monday,18,443,172,34,111,760
2026-01-05,Monday,19,352,140,34,102,628
2026-01-05,Monday,20,329,141,40,86,596
2026-01-05,Monday,21,239,113,23,15,390
2026-01-06,Tuesday,6,205,102,23,29,359
2026-01-06,Tuesday,7,268,123,24,53,468
2026-01-06,Tuesday,8,343,171,47,75,636
2026-01-06,Tuesday,9,391,140,46,96,673
